title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,characteristics_ch1.3,characteristics_ch1.4,molecule_ch1,extract_protocol_ch1,extract_protocol_ch1.1,taxid_ch1,description,data_processing,data_processing.1,data_processing.2,data_processing.3,platform_id,contact_name,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,data_row_count,instrument_model,library_selection,library_source,library_strategy,relation,relation.1,supplementary_file_1,cell line:ch1,cell type:ch1,genotype:ch1,tissue:ch1,treatment:ch1
Control_NonStim_1,GSM7848753,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: WT,treatment: none,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 1,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882157,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142250,NONE,HMC3,Microglial,WT,Brain,none
Control_NonStim_2,GSM7848754,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: WT,treatment: none,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 2,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882156,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142251,NONE,HMC3,Microglial,WT,Brain,none
Control_NonStim_3,GSM7848755,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: WT,treatment: none,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 3,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882155,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142252,NONE,HMC3,Microglial,WT,Brain,none
Control_ImmStim_1,GSM7848756,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: WT,treatment: immune stimulation with dsDNA,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 1,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882154,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142253,NONE,HMC3,Microglial,WT,Brain,immune stimulation with dsDNA
Control_ImmStim_2,GSM7848757,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: WT,treatment: immune stimulation with dsDNA,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 2,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882153,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142254,NONE,HMC3,Microglial,WT,Brain,immune stimulation with dsDNA
Control_ImmStim_3,GSM7848758,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: WT,treatment: immune stimulation with dsDNA,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 3,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882152,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142255,NONE,HMC3,Microglial,WT,Brain,immune stimulation with dsDNA
APTX_KO_NonStim_1,GSM7848759,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: APTX knockout,treatment: none,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 1,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882151,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142256,NONE,HMC3,Microglial,APTX knockout,Brain,none
APTX_KO_NonStim_2,GSM7848760,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: APTX knockout,treatment: none,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 2,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882150,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142257,NONE,HMC3,Microglial,APTX knockout,Brain,none
APTX_KO_NonStim_3,GSM7848761,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: APTX knockout,treatment: none,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 3,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882149,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142258,NONE,HMC3,Microglial,APTX knockout,Brain,none
APTX_KO_ImmStim_1,GSM7848762,Public on Oct 24 2023,Oct 19 2023,Oct 24 2023,SRA,1,Brain,Homo sapiens,tissue: Brain,cell line: HMC3,cell type: Microglial,genotype: APTX knockout,treatment: immune stimulation with dsDNA,total RNA,Total RNA was purified using RNeasy Mini Kit (Qiagen).,Complementary DNA was prepared using Maxima Reverse Transcriptase and Oligo dT (12–18) (Thermo Fisher Scientific- Life tech). qPCR was performed using a real-time PCR kit (Bio-Rad1725271) following the manufacturer’s protocol,9606,Biological replicate 1,Paired end sequencing files for each sample and sequencing run were aligned to the human genome (HG38) using HISAT,Differential expression analysis were performed using the DESeq2 package,Assembly: HG38,"Supplementary files format and content: Supplementary files format and content: *.csv, containing raw counts and normalised counts.",GPL23227,"Rebekah-Louise,,Scanlan",Newcastle University,Westgate Rd,Newcastle upon Tyne,NE4 6BE,United Kingdom,0,BGISEQ-500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN37882148,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX22142259,NONE,HMC3,Microglial,APTX knockout,Brain,immune stimulation with dsDNA
